scenario_id,team,group,elo,knockout_initial_elo,knockout_initial_elos_source,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,reach_r16,reach_r16_ci_low,reach_r16_ci_high,reach_r16_count,reach_qf,reach_qf_ci_low,reach_qf_ci_high,reach_qf_count,reach_sf,reach_sf_ci_low,reach_sf_ci_high,reach_sf_count,reach_final,reach_final_ci_low,reach_final_ci_high,reach_final_count,runner_up,runner_up_ci_low,runner_up_ci_high,runner_up_count,third_place,third_place_ci_low,third_place_ci_high,third_place_count,champion,champion_ci_low,champion_ci_high,champion_count
C01,Switzerland,B,1905.0,1886.5280135721393,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.56675,0.5636762581870735,0.5698186136623967,56675,0.26333,0.2606093038639118,0.26606887859879835,26333,0.11986,0.11786150772557685,0.1218876969956578,11986,0.05278,0.051411274820645884,0.054183083403772904,5278,0.02869,0.027673318747364624,0.029742890220818406,2869,0.03158,0.03051397289776672,0.03268201404262558,3158,0.02409,0.023157800319168843,0.02505876204964995,2409
C01,Paraguay,D,1828.0,1831.9850153481093,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.42931,0.4262449259463728,0.4323805048994844,42931,0.20587,0.2033752671134113,0.20838732978419677,20587,0.10552,0.10363098105005392,0.10743932535924963,10552,0.04916,0.047837222891503994,0.0505174134438499,4916,0.02571,0.02474712679337681,0.026709311116957214,2571,0.02792,0.026916919632126987,0.028959348492249425,2792,0.02345,0.022530223083425848,0.024406388454177048,2345
C01,Canada,B,1776.0,1765.1640573360353,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.60781,0.604779834915319,0.6108318824493458,60781,0.22981,0.2272128651981405,0.23242789247963713,22981,0.08844,0.08669596489875131,0.09021565370247805,8844,0.03674,0.03559170634770521,0.037923884169365235,3674,0.02128,0.02040375273920071,0.0221930255113108,2128,0.02196,0.021069867131272686,0.022886858877405714,2196,0.01546,0.01471373886125196,0.016243486517890017,1546
C01,Austria,J,1845.0,1844.1432956720428,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.31181,0.30894618181443356,0.3146882761128805,31181,0.14625,0.1440735014484147,0.1484536758287378,14625,0.07142,0.06984028099082824,0.07303264519275345,7142,0.03306,0.0319696608902486,0.03418621234733046,3306,0.01776,0.016959717977171277,0.018597330701652818,1776,0.01798,0.017174748690849492,0.018822283086205066,1798,0.0153,0.014557648955819862,0.016079588715518137,1530
C01,Ivory Coast,E,1776.0,1778.003516622133,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.41987,0.41681421484576187,0.4229319412396608,41987,0.17867,0.17630807232713674,0.18105661424379588,17867,0.07074,0.06916734145585186,0.07234563696956293,7074,0.03209,0.03101552559918851,0.033200422159828956,3209,0.01752,0.0167251761309941,0.01835189098612404,1752,0.01794,0.017135649804878677,0.018781385045224887,1794,0.01457,0.013845765841945254,0.015331527912537118,1457
C01,Panama,L,1741.0,1750.0532487969538,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.35221,0.34925522176737744,0.35517613238044,35221,0.19118,0.1887546577198274,0.19362906775502836,19118,0.07693,0.07529457125439318,0.07859793161668785,7693,0.03354,0.032441905307349125,0.034673931053641846,3354,0.0192,0.018367756231256638,0.020069181817803212,1920,0.01974,0.018896098679437937,0.02062079788346033,1974,0.01434,0.013621571614893201,0.015095739809620961,1434
C01,South Korea,A,1773.0,1770.143207826158,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.43325,0.43018138633760333,0.4363237418129266,43325,0.18044,0.1780688458751572,0.18283570471335686,18044,0.07336,0.07176036657921549,0.07499241056148938,7336,0.02978,0.028744401309912737,0.030851723917684863,2978,0.01726,0.016471133719360934,0.018085953372575746,1726,0.01931,0.01847536760581176,0.020181561992363324,1931,0.01252,0.011849333465930596,0.013228117782313368,1252
C01,Iran,G,1769.0,1765.2387147737065,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.4283,0.4252358652190603,0.43136964322128424,42830,0.14684,0.14465982430659347,0.14904730764308616,14684,0.06596,0.06443820536574976,0.06751514028902134,6596,0.02849,0.027476832151872688,0.02953939218155538,2849,0.01646,0.015689766625120206,0.017267381927796602,1646,0.01573,0.014977188266225159,0.016520016369836025,1573,0.01203,0.011372799242832006,0.012724689650262291,1203
C01,Dem. Rep. of Congo,K,1727.0,1739.2524444335022,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.37519,0.3721939745386798,0.3781956141424833,37519,0.14942,0.14722388669055492,0.15164304704746379,14942,0.06016,0.058703059609951674,0.06165073163692539,6016,0.02503,0.024079871573167624,0.026016618578999517,2503,0.01424,0.013524110996055811,0.014993208111080866,1424,0.01524,0.014499120748553073,0.01601812153235844,1524,0.01079,0.010168199841157714,0.011449384316455783,1079
C01,Scotland,C,1770.0,1773.4177805284712,unconditional_group_terminal_mean_n=100000,1.0,0.999961586887417,1.0,100000,0.32487,0.3219741123667353,0.32777934221007815,32487,0.13952,0.137386326244673,0.14168136807297488,13952,0.05659,0.05517487601934809,0.05803918949715281,5659,0.02369,0.022765543483582115,0.024651049615726745,2369,0.01339,0.012696081646006531,0.01412130276342154,1339,0.01396,0.013251271090608729,0.014706069527870994,1396,0.0103,0.009692764846618896,0.010944856955844937,1030
