team,group,position,elo,confederation,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,group_pos_1,group_pos_1_ci_low,group_pos_1_ci_high,group_pos_1_count,group_pos_2,group_pos_2_ci_low,group_pos_2_ci_high,group_pos_2_count,group_pos_3,group_pos_3_ci_low,group_pos_3_ci_high,group_pos_3_count,group_pos_4,group_pos_4_ci_low,group_pos_4_ci_high,group_pos_4_count
Cape Verde,H,H2,1594.0,CAF,0.46358,0.4604907148870404,0.46667208312408026,46358,0.08571,0.08399084916239719,0.08746097917442688,8571,0.1951,0.1926556221071317,0.19756780220892142,19510,0.32761,0.3247077134561595,0.33052553061679696,32761,0.39158,0.3885589782542441,0.39460935124508845,39158
Saudi Arabia,H,H3,1583.0,AFC,0.44182,0.43874436903646885,0.44490010071331143,44182,0.0816,0.07991931269904083,0.0833128313935687,8160,0.18279,0.18040672779477576,0.1851976422521092,18279,0.31886,0.31597854560262323,0.32175537069980337,31886,0.41675,0.41369753693289457,0.4198088588503506,41675
Uruguay,H,H4,1877.0,CONMEBOL,0.78479,0.7822319268215554,0.7873261938377796,78479,0.26906,0.2663202970547697,0.27181744519367035,26906,0.35302,0.35006364208917756,0.3559876498293974,35302,0.23507,0.23245201282226444,0.23770834074956884,23507,0.14285,0.14069493187019133,0.14503250661612677,14285
France,I,I1,2059.0,UEFA,0.82093,0.8185413238967966,0.8232940202627611,82093,0.39197,0.3889484273970138,0.39499987214009097,39197,0.27771,0.27494270565799234,0.2804943720435999,27771,0.20017,0.19770156827277405,0.20266146653431746,20017,0.13015,0.12807878438295983,0.1322496297964178,13015
Senegal,I,I2,1887.0,CAF,0.69534,0.6924798523766209,0.6981851403885551,69534,0.24446,0.2418061772818577,0.2471334548917213,24446,0.26604,0.2633102411498589,0.268787733113781,26604,0.26486,0.2621341709905932,0.26760389392799233,26486,0.22464,0.2220639217532727,0.22723723311608904,22464
Iraq,I,I3,1692.0,AFC,0.46841,0.46531848876637477,0.47150393817407826,46841,0.11514,0.11317643757573866,0.1171331297652788,11514,0.18539,0.1829934931623852,0.1878106771363143,18539,0.27259,0.2698388789168202,0.27535859213504493,27259,0.42688,0.42381720784574994,0.4299484096878342,42688
Norway,I,I4,1927.0,UEFA,0.70129,0.6984455569934079,0.7041189786557284,70129,0.24843,0.24576154801484815,0.2511177791586169,24843,0.27086,0.2681144472863233,0.2736231566749113,27086,0.26238,0.25966251228908366,0.26511574315854036,26238,0.21833,0.2157803948343209,0.2209012448085216,21833
Argentina,J,J1,2084.0,CONMEBOL,0.88582,0.8838340289478699,0.8877763299579366,88582,0.50565,0.5025510651745884,0.5087485007572394,50565,0.26194,0.25922400385784117,0.26467428539332194,26194,0.15018,0.14797923550878872,0.1524076398412989,15018,0.08223,0.08054333617421053,0.08394875951787711,8223
Algeria,J,J2,1800.0,CAF,0.63855,0.6355671076416763,0.6415222480848267,63855,0.1841,0.18171003708741854,0.18651423231711148,18410,0.26738,0.2646458087618314,0.2701320625546668,26738,0.28393,0.28114366523079254,0.2867329346116792,28393,0.26459,0.2618650737176002,0.26733301194406617,26459
Austria,J,J3,1845.0,UEFA,0.6561,0.6531499769265371,0.6590380304997144,65610,0.19656,0.19410863056799288,0.19903468158177157,19656,0.27358,0.2708257160398009,0.2763516789541013,27358,0.28091,0.27813282745869555,0.2837040043989762,28091,0.24895,0.24627965436305346,0.2516396328607745,24895
Jordan,J,J4,1670.0,AFC,0.48262,0.4795236246176652,0.4857177106221283,48262,0.11369,0.11173737869326394,0.11567230004577997,11369,0.1971,0.19464605801116,0.1995772126524428,19710,0.28498,0.28219051587703586,0.28778600329789944,28498,0.40423,0.40119213797663306,0.4072752196709512,40423
Portugal,K,K1,1944.0,UEFA,0.75158,0.7488922565403575,0.7542484155179152,75158,0.2922,0.28938935999382864,0.295026604495761,29220,0.29038,0.2875746112200148,0.2932014930933047,29038,0.23715,0.23452392287134846,0.23979627090193648,23715,0.18027,0.17789972831070988,0.1826648353382625,18027
Dem. Rep. of Congo,K,K2,1727.0,CAF,0.55926,0.556180649351308,0.5623347979265887,55926,0.15233,0.15011618345934782,0.15457052671435564,15233,0.2255,0.22292037998498776,0.22810070881382033,22550,0.28762,0.2848226794116261,0.2904336369420747,28762,0.33455,0.33163200775784535,0.3374807031411085,33455
Uzbekistan,K,K3,1720.0,AFC,0.51972,0.5166227379011714,0.5228157470856682,51972,0.13428,0.13218083318348134,0.1364072637035864,13428,0.20432,0.2018323427982691,0.206830373179988,20432,0.29061,0.2878039445810528,0.2934321420622347,29061,0.37079,0.3678013055191555,0.37378862119739825,37079
Colombia,K,K4,1996.0,CONMEBOL,0.84229,0.8400178967573977,0.8445358063939903,84229,0.42119,0.4181328471384884,0.424253207536317,42119,0.2798,0.2770262340700378,0.2825906830647439,27980,0.18462,0.18222739391822076,0.18703683553667214,18462,0.11439,0.11243208416397181,0.11637754079671452,11439
England,L,L1,2001.0,UEFA,0.83301,0.8306855864749492,0.8353088296238085,83301,0.39704,0.3940114501848768,0.40007645984326634,39704,0.28598,0.2831875337590933,0.28878890858961687,28598,0.1978,0.19534273389312604,0.20028048299211917,19780,0.11918,0.11718647664451998,0.12120278031854778,11918
Croatia,L,L2,1914.0,UEFA,0.76999,0.7673713195778864,0.772587938109581,76999,0.30762,0.3047670296250382,0.3104877502041593,30762,0.29354,0.2907255286000217,0.29637033294242615,29354,0.2357,0.23307955325623386,0.23834075191507753,23570,0.16314,0.1608628458013957,0.16544303388081377,16314
Ghana,L,L3,1564.0,CAF,0.42199,0.41893202914217853,0.42505396407164675,42199,0.09481,0.09300982882251423,0.09664130039566084,9481,0.16494,0.16265265594762124,0.16725308544738293,16494,0.27547,0.27270972536784804,0.2782475244244886,27547,0.46478,0.46169013462376357,0.46787257119588693,46478
Panama,L,L4,1741.0,CONCACAF,0.65127,0.6483104933390824,0.6542178851578369,65127,0.20053,0.19805988415898443,0.20302312299066608,20053,0.25554,0.2528461013336148,0.2582526796053894,25554,0.29103,0.28822272949932465,0.29385332487694843,29103,0.2529,0.25021543830528514,0.25560354545495345,25290
